country,team,player,position,dob,tour,start,end,place,prize,startelo64,endelo64
Peru,Infamous,kotarhayama,1,1997-01-31,Galaxy Battles II: Emerging Worlds,2018-01-19,2018-01-21,7,20000.0,1172.694920175678,1170.3346528846175
Argentina,Infamous,papita,2,1995-01-19,Galaxy Battles II: Emerging Worlds,2018-01-19,2018-01-21,7,20000.0,1172.694920175678,1170.3346528846175
Peru,Infamous,stinger,3,1996-12-15,Galaxy Battles II: Emerging Worlds,2018-01-19,2018-01-21,7,20000.0,1172.694920175678,1170.3346528846175
Peru,Infamous,scofield,4,1998-04-29,Galaxy Battles II: Emerging Worlds,2018-01-19,2018-01-21,7,20000.0,1172.694920175678,1170.3346528846175
Peru,Infamous,masoku,5,,Galaxy Battles II: Emerging Worlds,2018-01-19,2018-01-21,7,20000.0,1172.694920175678,1170.3346528846175
France,OG,7ckngmad,1,1992-05-11,Galaxy Battles II: Emerging Worlds,2018-01-19,2018-01-21,4,45000.0,1361.3269021248225,1237.686994650838
Ukraine,OG,resolut1on,2,1996-09-02,Galaxy Battles II: Emerging Worlds,2018-01-19,2018-01-21,4,45000.0,1361.3269021248225,1237.686994650838
Germany,OG,khezu,3,1995-04-27,Galaxy Battles II: Emerging Worlds,2018-01-19,2018-01-21,4,45000.0,1361.3269021248225,1237.686994650838
Finland,OG,jerax,4,1992-05-07,Galaxy Battles II: Emerging Worlds,2018-01-19,2018-01-21,4,45000.0,1361.3269021248225,1237.686994650838
Israel,OG,fly,5,1993-03-09,Galaxy Battles II: Emerging Worlds,2018-01-19,2018-01-21,4,45000.0,1361.3269021248225,1237.686994650838
USA,OG,fly,5,,Galaxy Battles II: Emerging Worlds,2018-01-19,2018-01-21,4,45000.0,1361.3269021248225,1237.686994650838
Philippines,TNC Pro Team,raven,1,1998-09-22,Galaxy Battles II: Emerging Worlds,2018-01-19,2018-01-21,5,35000.0,1179.7125841240809,1153.1777134806152
Philippines,TNC Pro Team,kuku,2,1996-09-21,Galaxy Battles II: Emerging Worlds,2018-01-19,2018-01-21,5,35000.0,1179.7125841240809,1153.1777134806152
,TNC Pro Team,sam_h,3,,Galaxy Battles II: Emerging Worlds,2018-01-19,2018-01-21,5,35000.0,1179.7125841240809,1153.1777134806152
Philippines,TNC Pro Team,tims,4,1997-07-04,Galaxy Battles II: Emerging Worlds,2018-01-19,2018-01-21,5,35000.0,1179.7125841240809,1153.1777134806152
Canada,TNC Pro Team,1437,5,,Galaxy Battles II: Emerging Worlds,2018-01-19,2018-01-21,5,35000.0,1179.7125841240809,1153.1777134806152
Canada,Evil Geniuses,arteezy,1,1996-07-01,Galaxy Battles II: Emerging Worlds,2018-01-19,2018-01-21,2,85000.0,1176.84301110113,1205.7977327002627
USA,Evil Geniuses,fear,2,1988-02-19,Galaxy Battles II: Emerging Worlds,2018-01-19,2018-01-21,2,85000.0,1176.84301110113,1205.7977327002627
,Evil Geniuses,suma1l,3,,Galaxy Battles II: Emerging Worlds,2018-01-19,2018-01-21,2,85000.0,1176.84301110113,1205.7977327002627
Denmark,Evil Geniuses,cr1t,4,1996-07-13,Galaxy Battles II: Emerging Worlds,2018-01-19,2018-01-21,2,85000.0,1176.84301110113,1205.7977327002627
Denmark,Evil Geniuses,misery,5,1991-07-14,Galaxy Battles II: Emerging Worlds,2018-01-19,2018-01-21,2,85000.0,1176.84301110113,1205.7977327002627
Russia,Team Spirit,illidan,1,1991-08-13,Galaxy Battles II: Emerging Worlds,2018-01-19,2018-01-21,3,60000.0,1028.5558866794422,1128.29815635194
Russia,Team Spirit,iltw,2,1999-10-29,Galaxy Battles II: Emerging Worlds,2018-01-19,2018-01-21,3,60000.0,1028.5558866794422,1128.29815635194
Ukraine,Team Spirit,dkphobos,3,1989-08-27,Galaxy Battles II: Emerging Worlds,2018-01-19,2018-01-21,3,60000.0,1028.5558866794422,1128.29815635194
Belarus,Team Spirit,fng,4,1995-09-24,Galaxy Battles II: Emerging Worlds,2018-01-19,2018-01-21,3,60000.0,1028.5558866794422,1128.29815635194
Denmark,Team Spirit,biver,5,,Galaxy Battles II: Emerging Worlds,2018-01-19,2018-01-21,3,60000.0,1028.5558866794422,1128.29815635194
Brazil,PaiN Gaming,hfn,1,1997-08-31,Galaxy Battles II: Emerging Worlds,2018-01-19,2018-01-21,5,35000.0,1247.5197281563824,1196.4054516462456
Romania,PaiN Gaming,w33,2,1995-03-06,Galaxy Battles II: Emerging Worlds,2018-01-19,2018-01-21,5,35000.0,1247.5197281563824,1196.4054516462456
Brazil,PaiN Gaming,tavo,3,1994-12-19,Galaxy Battles II: Emerging Worlds,2018-01-19,2018-01-21,5,35000.0,1247.5197281563824,1196.4054516462456
Brazil,PaiN Gaming,kingrd,4,1992-01-02,Galaxy Battles II: Emerging Worlds,2018-01-19,2018-01-21,5,35000.0,1247.5197281563824,1196.4054516462456
Brazil,PaiN Gaming,duster,5,2000-08-08,Galaxy Battles II: Emerging Worlds,2018-01-19,2018-01-21,5,35000.0,1247.5197281563824,1196.4054516462456
China,VGJ.Thunder,sylar,1,1993-12-20,Galaxy Battles II: Emerging Worlds,2018-01-19,2018-01-21,1,200000.0,1271.1297656829804,1326.4315373765442
,VGJ.Thunder,kamma,2,,Galaxy Battles II: Emerging Worlds,2018-01-19,2018-01-21,1,200000.0,1271.1297656829804,1326.4315373765442
China,VGJ.Thunder,yang,3,1996-11-15,Galaxy Battles II: Emerging Worlds,2018-01-19,2018-01-21,1,200000.0,1271.1297656829804,1326.4315373765442
,VGJ.Thunder,fade,4,,Galaxy Battles II: Emerging Worlds,2018-01-19,2018-01-21,1,200000.0,1271.1297656829804,1326.4315373765442
China,VGJ.Thunder,ayo,5,,Galaxy Battles II: Emerging Worlds,2018-01-19,2018-01-21,1,200000.0,1271.1297656829804,1326.4315373765442
,PG.Barracx,shinymf,1,,Galaxy Battles II: Emerging Worlds,2018-01-19,2018-01-21,7,20000.0,,
,PG.Barracx,ramz,2,,Galaxy Battles II: Emerging Worlds,2018-01-19,2018-01-21,7,20000.0,,
,PG.Barracx,bfl,3,,Galaxy Battles II: Emerging Worlds,2018-01-19,2018-01-21,7,20000.0,,
,PG.Barracx,lawlesshy,4,,Galaxy Battles II: Emerging Worlds,2018-01-19,2018-01-21,7,20000.0,,
,PG.Barracx,lesserblue,5,,Galaxy Battles II: Emerging Worlds,2018-01-19,2018-01-21,7,20000.0,,
Canada,Evil Geniuses,arteezy,1,1996-07-01,Captains Draft 4.0,2018-01-04,2018-01-07,5,12000.0,1144.3759591487894,1148.3619091526755
USA,Evil Geniuses,fear,2,1988-02-19,Captains Draft 4.0,2018-01-04,2018-01-07,5,12000.0,1144.3759591487894,1148.3619091526755
Pakistan,Evil Geniuses,sumail,3,1999-02-13,Captains Draft 4.0,2018-01-04,2018-01-07,5,12000.0,1144.3759591487894,1148.3619091526755
