cog,name,id,dob
Russia,Egor Zhabotinskii,.Ark,1997-07-07
Denmark,Jon Andersen,13abyKnight,1992-06-15
United Kingdom,James Harding,2GD,1982-12-29
Israel,Neta Shapira,33,1997-04-17
Brazil,Adriano de Paula Machado,4DR,1993-07-13
Russia,Stanislav Glushan,BzzIsPerfect,1992-11-09
France,Sébastien Debs,7ckngMad,1992-05-11
China,Zou Yitian,820,1990-04-13
Russia,Pavel Khvastunov,9pasha,1992-06-30
China,Gao Tianpeng,Dogf1ghts,1995-12-05
Ukraine,Ilya Korobkin,ALOHADANCE,1997-09-15
Ukraine,Andrey Bondarenko,ALWAYSWANNAFLY,1991-03-06
Russia,Sergey Revin,ARS-ART,1988-08-12
Philippines,Abed Azel L. Yusop,Abed,2000-08-02
Peru,Christian Cruz,Accel,1995-10-20
Denmark,Marcus Hoelgaard,Ace,1994-01-19
Sweden,Henrik Ahnberg,AdmiralBulldog,1990-12-19
Russia,Andrey Afonin,Afoninje,1996-09-27
Jordan,Mohammad Khalil Ibrahim Abu Al Eis,AfrOmoush,1996-12-06
Russia,Vasily Shishkin,AfterLife,1997-03-13
China,Sun Zheng,Agressif,1991-11-11
Sweden,Joakim Akterhall,Akke,1988-05-26
Germany,Alexander Reinhardt,Alex,1991-09-07
China,Wang Chunyu,Ame,1997-04-07
United States,Annie LeClair,AnneeDroid,1995-04-29
Sweden,Joel Larsson,Apemother,1990-12-14
Romania,Turtoi Ionut,Arise,1993-04-08
Philippines,Armel Paul Tabios,Armel,2000-01-20
Brazil,Danilo Silva,Arms,1996-07-01
Canada,Artour Babaev,Arteezy,1996-07-01
Ukraine,Artem Gorobey,Artes,1995-09-07
Ukraine,Ivan Antonov,Artstyle,1989-04-20
United Arab Emirates,Mohammed Almheiri,Attacker,1994-07-16
Canada,Kurtis Daniel Ling,Aui 2000,1992-10-02
China,Ye Jing,Awoke,1987-11-30
United States,Aaron Chambers,Ayesee,1984-12-05
Philippines,Mark Adrian Gavin,BYB,1993-06-10
Brazil,Thárcio Medeiros,Baga,1994-03-31
Denmark,Andreas Løchte,Balsam,1991-10-27
Bulgaria,Ivan Valev,Bashruk,1996-12-12
Australia,Cameron Scott,Basskip,1993-05-09
United Kingdom,Alder Beano,Beesa,1993-12-24
Philippines,Benhur Lawis,Benhur,1997-03-05
Peru,Benjamín Lanao Barrios,Benjaz,1993-09-30
Philippines,Ryan Jay Qui,Bimbo,1995-11-15
Germany,Dominik Reitmeier,Black^,1993-05-27
Germany,Jamal Sohail,Blazemon,1996-02-13
USA,William Lee,Blitz,1990-05-21
Kyrgyzstan,Evgeniy Ree,Blizzy,1995-01-05
United States,Daniel Foster,Bloody Nine,1992-11-11
China,Ye Zhibiao,BoBoKa,1997-01-06
Philippines,Marvin Rushton,Boombacs,1993-01-06
United States,Kanishka Sosale,BuLba,1991-07-10
China,Xu Zhilei,BurNIng,1988-04-02
Philippines,James Palatolon John,CartMaN,1993-09-28
Ukraine,Roman Lepokhin,CaspeRRR,1990-03-21
Philippines,Mark Pilar,Cast,1987-05-12
Ukraine,Semion Krivulya,CemaTheSlayeR,1994-03-09
China,Yang Shenyi,Chalice,1998-08-16
China,Cao An,ChaoYue,1995-10-09
Russia,Vladimir Kuzmenko,Chappie,1997-04-03
Sweden,Rasmus Blomdin,Chessie,1992-12-26
Singapore,Joel Chan Jian Yong,Chibix,1990-05-25
Malaysia,Wong Hock Chuan,ChuaN,1991-07-28
Russia,Evgeniy Makarov,Chuvash,1998-05-10
Romania,Alexandru Craciunescu,ComeWithMe,1992-11-04
Russia,Zaur Shakhmurzaev,Cooman,1998-08-12
Denmark,Andreas Franck Nielsen,Cr1t-,1996-07-13
South Korea,Choi Jong-Bin,Crio J,1989-10-07
Ukraine,Vladislav Krystanek,Crystallize,1999-08-08
China,Chen Tianyu,Cty,1994-12-16
China,Long Zhan,Yim,1993-05-22
Brazil,Kaue Camuci,Cys,1995-03-16
Argentina,Alan Salvati,DDX-,1990-12-18
Philippines,Djardel Jicko B. Mampusti,DJ,1994-11-06
United States,Jimmy Ho,DeMoN,1990-07-08
Ukraine,Danil Ishutin,Dendi,1989-12-30
Russia,Dmitry Minenkov,Ditya Ra,1995-03-26
Ukraine,Alexander Kucheria,DkPhobos,1989-08-27
USA,Andy Stiles,Draskyl,1988-01-19
Sweden,Kim Larsson,Drayich,1982-12-22
Russia,Andrey Golubev,Dread,1991-01-19
Indonesia,Randy Muhammad Sapoetra,Dreamocel,1998-01-14
Ukraine,Dmitry Chumachenko,Droog,1988-08-23
South Korea,Kim Doo-young,DuBu,1993-07-12
Brazil,Heitor Pereira,Duster,2000-08-08
Sweden,Jerry Lundkvist,EGM,1991-06-04
Sweden,Adrian Kryeziu,Era,1995-09-03
Philippines,Eri Neeman,Eri Neeman,1986-12-12
Sweden,Eskil Wilhelm Erik Sundblad,Eskillz,1992-04-01
Canada,Jacky Mao,EternaLEnVy,1991-07-02
Sweden,Steve Ye,Excalibur,1997-08-21
United States,Brian Lee,FLUFFNSTUFF,1992-08-02
China,Zeng Hongda,Faith,1992-02-06
China,Zhang Ruida,Faith bian,1998-03-21
Germany,Adrian Trinks,Fata,1993-02-24
United States,Clinton Loomis,Fear,1988-02-19
Ukraine,Oleg Skarzhinsky,Feaver,1995-11-23
South Korea,Kim Yong-min,Febby,1993-02-19
China,Lu Chao,Fenrir,1989-01-18
China,Luo Feichi,Ferrari 430,1990-02-14
Poland,Filip Musialski,Fey,1999-06-16
Sweden,Dennis Brofalk,Flens,1994-07-10
Israel,Tal Aizik,Fly,1993-03-09
Philippines,Kenneth Coloma,Flysolo,1991-12-25
United States,Ioannis Loucas,Fogged,1989-12-12
China,Lai Xingyu,Fonte,1996-08-18
South Korea,Lee Sang-don,Forev,1991-11-18
Ukraine,Gleb Lipatnikov,Funn1k,1992-11-16
Russia,Sergey Alexandrovich Bragin,G,1992-04-16
Philippines,Kim Villafuerte,Gabbi,1998-08-01
China,Liu Xinzhou,Garder,1989-04-17
United Kingdom,Gareth Bateson,Gareth,1989-06-06
Ukraine,Victor Nigrini,GeneRaL,1996-08-05
Ukraine,Andrey Kadyk,Ghostik,1994-08-24
Australia,David Parker,GoDz,1990-02-27
Ukraine,Artur Kostenko,Goblak,1988-12-04
Australia,Darcy Milho Jose,Godot,1991-09-28
Sweden,Janne Stefanovski,Gorgc,1993-10-28
Venezuela,William Aguilera,Gudii,1991-08-20
United States,Tony Talavera,HANNAH MONTANA,1992-01-01
Sweden,Simon Haag,Handsken,1994-04-24
China,Chen Zhihao,Hao,1990-07-28
South Korea,Lee Seung Gon,Heen,1987-02-28
Denmark,Mikki Mørch Junget,HesteJoe-Rotten,1991-03-27
Jordan,Mohammad Al-Sheikh,Hook (player),1996-01-15
France,Hugo Fouques,Hugo,1989-12-19
Ukraine,Bogdan Vasylenko,Iceberg,1997-04-13
China,Wang Peng,Icy,1991-01-24
Russia,Ilya Pivcaev,Illidan,1991-08-13
China,Yang Xiaodong,InJuly,1993-01-28
