team,position,id,tour,prizeusd,start,end,startelo,startglicko2mu,startglicko2phi,startglicko2rating,endelo,endglicko2mu,endglicko2phi,endglicko2rating
natusvincere,pos1,xboct,StarLadder StarSeries Season 1,15000,12/03/2012,29/04/2012,,,,,,,,
natusvincere,pos2,dendi,StarLadder StarSeries Season 1,15000,12/03/2012,29/04/2012,,,,,,,,
natusvincere,pos3,lightofheaven,StarLadder StarSeries Season 1,15000,12/03/2012,29/04/2012,,,,,,,,
natusvincere,pos4,puppey,StarLadder StarSeries Season 1,15000,12/03/2012,29/04/2012,,,,,,,,
natusvincere,pos5,arsart,StarLadder StarSeries Season 1,15000,12/03/2012,29/04/2012,,,,,,,,
counterlogicgaming,pos1,pajkatt,StarLadder StarSeries Season 1,15000,12/03/2012,29/04/2012,,,,,,,,
counterlogicgaming,pos2,loda,StarLadder StarSeries Season 1,15000,12/03/2012,29/04/2012,,,,,,,,
counterlogicgaming,pos3,smulgullig,StarLadder StarSeries Season 1,15000,12/03/2012,29/04/2012,,,,,,,,
counterlogicgaming,pos4,mirakel,StarLadder StarSeries Season 1,15000,12/03/2012,29/04/2012,,,,,,,,
counterlogicgaming,pos5,akke,StarLadder StarSeries Season 1,15000,12/03/2012,29/04/2012,,,,,,,,
darer,pos1,artstyle,StarLadder StarSeries Season 1,15000,12/03/2012,29/04/2012,,,,,,,,
darer,pos2,g,StarLadder StarSeries Season 1,15000,12/03/2012,29/04/2012,,,,,,,,
darer,pos3,dread,StarLadder StarSeries Season 1,15000,12/03/2012,29/04/2012,,,,,,,,
darer,pos4,ru,StarLadder StarSeries Season 1,15000,12/03/2012,29/04/2012,,,,,,,,
darer,pos5,ns,StarLadder StarSeries Season 1,15000,12/03/2012,29/04/2012,,,,,,,,
moscowfive,pos1,silent,StarLadder StarSeries Season 1,15000,12/03/2012,29/04/2012,,,,,,,,
moscowfive,pos2,ru,StarLadder StarSeries Season 1,15000,12/03/2012,29/04/2012,,,,,,,,
moscowfive,pos3,pgg,StarLadder StarSeries Season 1,15000,12/03/2012,29/04/2012,,,,,,,,
moscowfive,pos4,vigoss,StarLadder StarSeries Season 1,15000,12/03/2012,29/04/2012,,,,,,,,
moscowfive,pos5,ru,StarLadder StarSeries Season 1,15000,12/03/2012,29/04/2012,,,,,,,,
teamempire,pos1,blowyourbrain,RaidCall Dota 2 League Season 1,10000,10/09/2012,18/11/2012,,,,,,,,
teamempire,pos2,scandal,RaidCall Dota 2 League Season 1,10000,10/09/2012,18/11/2012,,,,,,,,
teamempire,pos3,funn1k,RaidCall Dota 2 League Season 1,10000,10/09/2012,18/11/2012,,,,,,,,
teamempire,pos4,goblak,RaidCall Dota 2 League Season 1,10000,10/09/2012,18/11/2012,,,,,,,,
teamempire,pos5,silent,RaidCall Dota 2 League Season 1,10000,10/09/2012,18/11/2012,,,,,,,,
pulseesports,pos1,wagamama,RaidCall Dota 2 League Season 1,10000,10/09/2012,18/11/2012,,,,,,,,
pulseesports,pos2,mini,RaidCall Dota 2 League Season 1,10000,10/09/2012,18/11/2012,,,,,,,,
pulseesports,pos3,reesion,RaidCall Dota 2 League Season 1,10000,10/09/2012,18/11/2012,,,,,,,,
pulseesports,pos4,pinoy,RaidCall Dota 2 League Season 1,10000,10/09/2012,18/11/2012,,,,,,,,
pulseesports,pos5,fishbone,RaidCall Dota 2 League Season 1,10000,10/09/2012,18/11/2012,,,,,,,,
