,lq,dat
0,monkeybusiness,monkeybusiness
1,,
2,4friendschrillee,4friendschrillee
3,4protectfive,4protectfive
4,5jungz,5jungz
5,90sgaming,90sgaming
6,alternateattax,teamalternateattax
7,adfinem,teamadfinem
8,alliance,alliance
9,arcanysgaming,arcanysgaming
10,bears,bears
11,boomid,boomid
12,basicallyunknown,basicallyunknown
13,biggod,biggod
14,braveheart,teambraveheart
15,broodmothers,broodmothers
16,burdenunited,burdenunited
17,cavalry,cavalry
18,cdecavenger,cdecavenger
19,cdecgaming,cdecgaming
20,cdecyouth,cdecyouth
21,cisrejects,cisrejects
22,cookiss,cookiss
23,cantsaywips,cantsaywips
24,cloud9,cloud9
25,clutchgamers,clutchgamers
26,comanche,comanche
27,complexitygaming,complexitygaming
28,crescendo,crescendo
29,dddota,dd
30,danishbears,danishbears
31,darer,darer
32,digitalchaos,digitalchaos
33,digitalchaossa,digitalchaos
34,doowop,doowop
35,doubledimension,doubledimension
36,dreamgaming,dreamgamin
37,drinkingboys,drinkingboys
38,ehome,ehome
39,ehomemalaysia,ehomemalaysia
40,ehomekeen,ehomek
41,ehomeluminous,ehomeluminous
42,ehomex,ehomex
43,echogaming,echogaming
44,eclipseteam,eclipse
45,effect,effect
46,elitewolves,elitewolves
47,enso,enso
48,entitygaming,entitygaming
49,escapegaming,escapegaming
50,evernova,evernova
51,evilgeniuses,evilgeniuses
52,execration,execration????
53,exodus,exodus
54,friends,friends
55,ftdclubb,ftdclubb
56,fantasticfive,fantasticfive
57,firedragoon,firedragoon
58,firstdeparture,firstdeparture
59,flipsid3tactics,flipsid3tactics
60,fnatic,fnatic
61,forthedream,forthedream
62,gguardesports,gguardesports
63,goombagaming,goombagaming
64,gusgaming,gusgamingcom
65,gambitesports,gambitesports
66,geekfam,geekfam
67,goldenboys,goldenboys
68,happyfeet,happyfeet
69,hellraisers,hellraisers
70,highcouncilofwizardspriests,highcouncilofwizardspriests
71,horde,horde
72,hypergloryteam,hypergloryteam
73,igvitality,igvitality
74,icebergesports,icebergesports
75,immortals,immortals
76,infamous,infamous
77,infinityvn,infinityvn
78,insidiousidol,insidiousidol
79,invasionesports,invasionesports
80,invictusgaming,invictusgaming
81,isgg,isgg
82,kaipi,kaipi
83,keengaming,keengaming
84,kingao4,kingao4
85,kingdom,kingdom
86,kingdomdota,kingdomdota
87,laigaming,laigaming
88,lgdgaming,lgdgaming
89,lgdforeveryoung,lgdforeveryoung
90,lq,lq
91,m19,m19
92,maxx,maxx
93,maxy,maxy
94,mvphot6ix,mvphot6
95,mvpphoenix,mvpphoenix
96,mvprevolution,mvprevolution
97,madkings,madkings
98,mamasboys,mamasboys
99,midorfeed,midorfeed
100,midasclub,midasclub
101,midasclubvictory,midasclubvictory
102,mineski,mineski???
103,monkeyfreedomfighters,monkeyfreedomfighters
104,mousesports,mousesports
105,natural9,natural9
106,natusvincere,natusvincere
107,neolutionesport,neolutionesportsth
108,newelement,newelement
109,newbee,newbee
110,newbeeboss,newbee
111,newbeeyoung,newbeeyoung
112,newbeemiracle,newbeemiracle
113,newteam123123,newteam123123
114,ninjasinpyjamas,ninjasinpyjamas
115,nolifer5,nolifer5
116,nolifer5reborn,nolifer5reborn
117,nottoday,nottoday
118,og,og
119,opticgaming,opticgaming
120,orangeesports,orangeesports
121,pentasports,pentasports
122,paingaming,paingaming
123,planetdog,planetdog
124,potmbottom,potmbottom
125,powergaming,powergaming
126,powerrangers,_powerrangers
127,poweroffriendship,poweroffriendship
128,prodotagaming,prodotagaming
129,qpadredpandas,qpadredpandas
130,rootgaming,rootgaming
131,rave,rave
132,rexregum,rexregumqeon
133,s1lykos,s1lykos
134,sftesports,sftesports
